,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,monthlycharges_range,tenure_range
64,Female,0,No,No,9,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4000015258789,805070.0205,Yes,81 - 100,1 - 12
65,Female,0,No,No,3,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.30000305175781,204040.01,No,61 - 80,1 - 12
66,Male,0,Yes,No,47,Yes,Yes,Yes,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9000015258789,30605000.030500002,No,81 - 100,37 - 48
67,Female,0,No,No,31,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.19999694824219,20409070.01090909,No,81 - 100,25 - 36
68,Female,0,Yes,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.149999618530277,903000.0900000002,No,21 - 40,49 - 60
69,Male,0,No,No,10,Yes,No,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.8499984741211,808070.0304090907,No,81 - 100,1 - 12
70,Male,0,No,No,1,Yes,No,Yes,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.04999923706055,4090.000409090909,No,41 - 60,1 - 12
71,Female,0,Yes,Yes,52,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.399999618530277,10009000.0605,No,21 - 40,49 - 60
72,Male,1,Yes,Yes,64,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.5999984741211,70009090.0,No,101 - 120,61 - 72
73,Male,0,Yes,Yes,62,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.25,10402040.05090909,No,21 - 40,61 - 72
74,Female,0,No,Yes,3,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,107070.0309090909,No,61 - 80,1 - 12
75,Female,1,No,No,56,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,60103090.05,No,101 - 120,49 - 60
76,Female,0,No,No,46,Yes,No,Yes,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.650001525878906,20608080.0805,No,41 - 60,37 - 48
77,Female,0,Yes,Yes,8,Yes,No,Yes,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.650001525878906,408020.0205,No,41 - 60,1 - 12
78,Male,1,No,No,30,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,20101010.03,No,61 - 80,25 - 36
79,Female,0,Yes,Yes,45,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.899999618530277,10201060.05090909,No,21 - 40,37 - 48
80,Female,0,No,Yes,1,Yes,No,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.3499984741211,7090.030409090908,Yes,81 - 100,1 - 12
81,Female,0,Yes,Yes,11,No,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.54999923706055,506050.0304090907,No,41 - 60,1 - 12
82,Female,0,Yes,No,7,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.1500015258789,409060.08090909093,Yes,61 - 80,1 - 12
83,Female,0,No,No,42,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8000030517578,40302070.05,No,101 - 120,37 - 48
84,Female,0,Yes,No,49,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.149999618530277,907030.0304090907,No,21 - 40,49 - 60
85,Male,0,No,No,9,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3000030517578,901080.0705,No,101 - 120,1 - 12
86,Female,0,Yes,No,35,Yes,No,Yes,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.150001525878906,20201050.04040909,No,61 - 80,25 - 36
87,Female,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.649999618530277,10005070.0,No,21 - 40,37 - 48
88,Female,0,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.950000762939453,902070.0009090907,No,1 - 20,37 - 48
89,Male,0,Yes,No,29,No,No,Yes,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,10000090.0205,No,21 - 40,25 - 36
90,Male,0,Yes,Yes,30,Yes,No,Yes,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05000305175781,20507000.01090909,No,81 - 100,25 - 36
91,Male,1,No,No,1,Yes,No,Yes,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.69999694824219,7040.0609090909065,No,61 - 80,1 - 12
92,Male,0,Yes,Yes,66,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,50701040.0205,No,81 - 100,61 - 72
93,Female,0,No,No,65,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.0500030517578,70100070.0,No,101 - 120,61 - 72
94,Male,0,No,No,72,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9000015258789,70405090.00040908,No,101 - 120,61 - 72
95,Female,0,No,No,12,Yes,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.94999694824219,902070.0304090907,Yes,81 - 100,1 - 12
96,Male,0,Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.8499984741211,40704080.07000001,No,61 - 80,61 - 72
97,Male,0,No,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.049999237060547,101030.08040909091,Yes,21 - 40,1 - 12
98,Male,0,No,No,52,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),21.0,10100070.01090909,No,21 - 40,49 - 60
99,Female,1,Yes,No,25,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,20501040.05,Yes,101 - 120,25 - 36
100,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.200000762939453,2000.02,No,21 - 40,1 - 12
101,Female,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.450000762939453,1090.0405,No,1 - 20,1 - 12
102,Male,0,No,No,38,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,30600050.060000002,No,81 - 100,37 - 48
103,Female,1,Yes,No,66,No,No,Yes,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.54999923706055,30002070.0205,No,41 - 60,61 - 72
104,Male,0,Yes,No,68,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,70601010.0805,Yes,101 - 120,61 - 72
105,Male,0,No,No,5,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.299999237060547,100000.01090909091,No,21 - 40,1 - 12
106,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.1500015258789,70300030.00040908,No,101 - 120,61 - 72
107,Female,0,No,No,32,No,No,Yes,Yes,No,No,No,No,No,One year,No,Mailed check,30.149999618530277,902070.0605000003,No,21 - 40,25 - 36
108,Male,0,No,No,43,Yes,Yes,Yes,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.3499984741211,30902010.03,No,81 - 100,37 - 48
109,Male,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.399999618530277,10306030.0205,No,1 - 20,61 - 72
110,Male,0,Yes,No,55,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,50203080.08090909,Yes,101 - 120,49 - 60
111,Female,0,No,No,52,Yes,No,Yes,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95000076293945,30004020.0205,No,41 - 60,49 - 60
112,Female,0,No,No,43,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.6500015258789,30905040.01,No,81 - 100,37 - 48
113,Female,1,Yes,No,37,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,20806080.01040909,Yes,61 - 80,37 - 48
114,Female,0,Yes,Yes,64,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.59999847412109,30402030.05,No,41 - 60,61 - 72
115,Male,0,Yes,Yes,3,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.8499984741211,204080.0309090909,No,81 - 100,1 - 12
116,Female,0,No,No,36,No,No,Yes,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.049999237060547,10102060.03040909,No,21 - 40,25 - 36
117,Female,0,Yes,Yes,10,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,10006040.0605,Yes,101 - 120,1 - 12
118,Female,0,No,No,41,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.649999618530277,803050.0105000002,No,21 - 40,37 - 48
119,Male,0,Yes,Yes,27,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.19999694824219,20105010.060000002,No,81 - 100,25 - 36
120,Female,0,Yes,Yes,56,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8000030517578,50501050.04050001,No,101 - 120,49 - 60
121,Female,0,No,No,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.700000762939453,101020.0705,No,21 - 40,1 - 12
122,Male,0,No,No,3,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4000015258789,202090.0505,Yes,61 - 80,1 - 12
123,Female,0,Yes,Yes,7,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.70000076293945,305000.0305,No,41 - 60,1 - 12
124,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.850000381469727,6020.090000000001,No,21 - 40,1 - 12
125,Male,0,No,No,33,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.94999694824219,30002070.06040909,No,81 - 100,25 - 36
126,Female,1,No,No,27,Yes,Yes,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05000305175781,20103050.05,Yes,81 - 100,25 - 36
127,Male,0,Yes,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),23.549999237060547,10702030.09040909,No,21 - 40,61 - 72
128,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.75,1090.0705,No,1 - 20,1 - 12
129,Male,1,No,No,71,No,No,Yes,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45000076293945,30908050.030500002,No,41 - 60,61 - 72
130,Female,0,No,No,13,Yes,Yes,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.94999694824219,10201050.0605,No,81 - 100,13 - 24
131,Female,0,Yes,Yes,25,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.59999847412109,10500020.0605,Yes,61 - 80,25 - 36
132,Male,0,No,No,67,Yes,No,Yes,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.54999923706055,30206000.01,No,41 - 60,61 - 72
133,Male,0,No,No,1,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45000076293945,3050.0405,Yes,21 - 40,1 - 12
134,Male,0,No,No,2,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.34999847412109,8010.0205,Yes,41 - 60,1 - 12
135,Female,0,No,No,43,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),25.700000762939453,10108080.01090909,No,21 - 40,37 - 48
136,Female,0,No,No,23,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,10707080.05,No,61 - 80,13 - 24
137,Female,0,Yes,Yes,64,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.200000762939453,10207070.0705,No,21 - 40,61 - 72
138,Male,0,No,Yes,57,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.600000381469727,10107000.0505,No,1 - 20,49 - 60
139,Female,1,Yes,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.44999694824219,7000.040409090906,Yes,61 - 80,1 - 12
140,Female,1,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05000305175781,60402050.06040909,No,81 - 100,61 - 72
141,Female,0,No,No,8,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.1500015258789,506030.0605000002,Yes,61 - 80,1 - 12
142,Female,0,Yes,No,61,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.0500030517578,50907010.0205,No,101 - 120,61 - 72
143,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.30000305175781,50208090.00040908,No,81 - 100,61 - 72
144,Male,1,Yes,No,71,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),23.950000762939453,10705060.01090909,No,21 - 40,61 - 72
145,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.0500030517578,60401060.07000001,No,101 - 120,61 - 72
146,Male,0,No,No,3,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.600000381469727,6010.030409090908,No,1 - 20,1 - 12
147,Male,0,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.650001525878906,4050.060500000001,Yes,41 - 60,1 - 12
148,Male,0,No,Yes,30,Yes,No,Yes,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,10902090.09040909,No,61 - 80,25 - 36
149,Male,0,Yes,Yes,15,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,10007010.040000001,No,61 - 80,13 - 24
150,Female,0,Yes,Yes,8,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55000305175781,506040.0304090907,No,61 - 80,1 - 12
151,Male,0,No,No,7,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,605050.05,Yes,81 - 100,1 - 12
152,Female,0,Yes,Yes,70,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.1500015258789,70903000.05040908,No,101 - 120,61 - 72
153,Male,0,Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86.0999984741211,50201050.0205,No,81 - 100,61 - 72
154,Female,0,Yes,Yes,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.700000762939453,101030.05,No,1 - 20,1 - 12
155,Female,0,Yes,Yes,14,Yes,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9000015258789,10105020.08,No,81 - 100,13 - 24
156,Female,0,No,No,22,Yes,Yes,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.1500015258789,10802010.09040909,No,81 - 100,13 - 24
157,Male,0,Yes,Yes,22,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.149999618530277,401090.08090909093,No,21 - 40,13 - 24
